Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/03/2023 01:27 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Y0gv5U
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,2021
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2021,Angola,AGO,Indonesia,IDN,7,0,-
2021,Angola,AGO,Ireland,IRL,52,25,-
2021,Angola,AGO,Italy,ITA,5,11,-
2021,Angola,AGO,"Rep. of Korea",KOR,9,18,-
2021,Angola,AGO,Luxembourg,LUX,9,10,-
2021,Angola,AGO,Mexico,MEX,10,345,-
2021,Angola,AGO,Morocco,MAR,0,6,-
2021,Angola,AGO,Mozambique,MOZ,5,0,-
2021,Angola,AGO,Namibia,NAM,5,0,-
2021,Angola,AGO,Netherlands,NLD,21,10,-
2021,Angola,AGO,Norway,NOR,5,0,-
2021,Angola,AGO,Peru,PER,0,10,-
2021,Angola,AGO,Poland,POL,0,5,-
2021,Angola,AGO,Portugal,PRT,0,223,-
2021,Angola,AGO,Romania,ROU,8,0,-
2021,Angola,AGO,"South Africa",ZAF,24,11,-
2021,Angola,AGO,Rwanda,RWA,9,0,-
2021,Angola,AGO,Spain,ESP,38,15,-
2021,Angola,AGO,Slovakia,SVK,24,0,-
2021,Angola,AGO,Eswatini,SWZ,12,0,-
2021,Angola,AGO,Sweden,SWE,21,13,-
2021,Angola,AGO,Switzerland,CHE,703,46,-
2021,Angola,AGO,Ukraine,UKR,24,5,-
2021,Angola,AGO,Uruguay,URY,14,0,-
2021,Angola,AGO,"United States of America",USA,299,3361,-
2021,Angola,AGO,Zimbabwe,ZWE,0,6,-
2021,"Antigua and Barbuda",ATG,Canada,CAN,94,33,-
2021,"Antigua and Barbuda",ATG,"United Kingdom of Great Britain and Northern Ireland",GBR,5,12,-
2021,"Antigua and Barbuda",ATG,"United States of America",USA,6,10,-
2021,Egypt,EGY,Argentina,ARG,5,19,-
2021,Egypt,EGY,Armenia,ARM,5,0,-
2021,Egypt,EGY,Australia,AUS,1320,256,-
2021,Egypt,EGY,Austria,AUT,217,387,-
2021,Egypt,EGY,Bahrain,BHR,0,5,-
2021,Egypt,EGY,Belgium,BEL,98,105,-
2021,Egypt,EGY,Brazil,BRA,62,487,-
2021,Egypt,EGY,Bulgaria,BGR,17,6,-
2021,Egypt,EGY,Canada,CAN,3339,335,-
2021,Egypt,EGY,Cyprus,CYP,120,477,-
2021,Egypt,EGY,Czechia,CZE,7,10,-
2021,Egypt,EGY,Denmark,DNK,17,6,-
2021,Egypt,EGY,Ecuador,ECU,5,7,-
2021,Egypt,EGY,Estonia,EST,5,0,-
2021,Egypt,EGY,Ethiopia,ETH,5,0,-
2021,Egypt,EGY,Finland,FIN,40,5,-
2021,Egypt,EGY,France,FRA,1586,395,-
2021,Egypt,EGY,"United Kingdom of Great Britain and Northern Ireland",GBR,978,1039,-
2021,Egypt,EGY,Georgia,GEO,65,61,-
2021,Egypt,EGY,Germany,DEU,2259,1179,-
2021,Egypt,EGY,Ghana,GHA,0,16,-
2021,Egypt,EGY,Greece,GRC,418,1561,-
2021,Egypt,EGY,"China, Hong Kong SAR",HKG,13,0,-
2021,Egypt,EGY,Croatia,HRV,8,0,-
2021,Egypt,EGY,Hungary,HUN,11,0,-
2021,Egypt,EGY,Iceland,ISL,10,0,-
2021,Egypt,EGY,"Cote d'Ivoire",CIV,5,0,-
2021,Egypt,EGY,India,IND,0,10,-
2021,Egypt,EGY,Indonesia,IDN,18,15,-
2021,Egypt,EGY,Ireland,IRL,51,64,-
2021,Egypt,EGY,Iraq,IRQ,0,22,-
2021,Egypt,EGY,Italy,ITA,868,2332,-
2021,Egypt,EGY,Jordan,JOR,128,507,-
2021,Egypt,EGY,Kenya,KEN,0,16,-
2021,Egypt,EGY,"Rep. of Korea",KOR,72,753,-
2021,Egypt,EGY,Kuwait,KWT,6,19,-
2021,Egypt,EGY,Lebanon,LBN,121,370,-
2021,Egypt,EGY,Luxembourg,LUX,0,5,-
2021,Egypt,EGY,Latvia,LVA,5,5,-
2021,Egypt,EGY,Mexico,MEX,5,11,-
2021,Egypt,EGY,Malaysia,MYS,18,83,-
2021,Egypt,EGY,Morocco,MAR,5,11,-
2021,Egypt,EGY,Malta,MLT,73,97,-
2021,Egypt,EGY,Netherlands,NLD,342,141,-
2021,Egypt,EGY,Nigeria,NGA,0,8,-
2021,Egypt,EGY,Norway,NOR,44,0,-
2021,Egypt,EGY,"New Zealand",NZL,31,5,-
2021,Egypt,EGY,Philippines,PHL,0,5,-
2021,Egypt,EGY,Poland,POL,40,16,-
2021,Egypt,EGY,Portugal,PRT,5,18,-
2021,Egypt,EGY,Qatar,QAT,13,22,-
2021,Egypt,EGY,Romania,ROU,16,7,-
2021,Egypt,EGY,"South Africa",ZAF,7,228,-
2021,Egypt,EGY,"Russian Federation",RUS,6,0,-
2021,Egypt,EGY,"Saudi Arabia",SAU,0,20,-
2021,Egypt,EGY,Somalia,SOM,0,5,-
2021,Egypt,EGY,Spain,ESP,94,175,-
2021,Egypt,EGY,Sudan,SDN,17,11,-
2021,Egypt,EGY,Slovakia,SVK,5,0,-
2021,Egypt,EGY,Sweden,SWE,422,154,-
2021,Egypt,EGY,Switzerland,CHE,140,11,-
2021,Egypt,EGY,"Syrian Arab Rep.",SYR,32,10,-
2021,Egypt,EGY,Thailand,THA,17,0,-
2021,Egypt,EGY,Tunisia,TUN,0,15,-
2021,Egypt,EGY,"United Arab Emirates",ARE,5,8,-
2021,Egypt,EGY,Uganda,UGA,8,0,-
2021,Egypt,EGY,Ukraine,UKR,5,15,-
2021,Egypt,EGY,Uruguay,URY,0,5,-
2021,Egypt,EGY,"United States of America",USA,14248,9451,-
2021,Egypt,EGY,Yemen,YEM,16,10,-
2021,Argentina,ARG,Australia,AUS,0,29,-
2021,Argentina,ARG,"Bolivia (Plurinational State of)",BOL,13,0,-
2021,Argentina,ARG,Brazil,BRA,6,153,-
2021,Argentina,ARG,Canada,CAN,15,58,-
2021,Argentina,ARG,"Costa Rica",CRI,0,37,-
2021,Argentina,ARG,France,FRA,12,5,-
2021,Argentina,ARG,"United Kingdom of Great Britain and Northern Ireland",GBR,0,22,-
2021,Argentina,ARG,Germany,DEU,14,19,-
2021,Argentina,ARG,Italy,ITA,10,25,-
2021,Argentina,ARG,"Rep. of Korea",KOR,0,8,-
2021,Argentina,ARG,Mexico,MEX,5,195,-
2021,Argentina,ARG,Netherlands,NLD,8,7,-
2021,Argentina,ARG,Paraguay,PRY,0,16,-
2021,Argentina,ARG,Peru,PER,0,15,-
2021,Argentina,ARG,Spain,ESP,18,670,-
2021,Argentina,ARG,Sweden,SWE,0,5,-
2021,Argentina,ARG,Uruguay,URY,0,11,-
2021,Argentina,ARG,"United States of America",USA,23,499,-
2021,Armenia,ARM,Argentina,ARG,77,183,-
2021,Armenia,ARM,Austria,AUT,307,154,-
